Price,Year,Home_size,Parcel_size,Beds,Age,Pool,X_coord,Y_coord,cbd_dist
74.38,2000,1227,6059,3,5,0,504491.5,1527815,9299.92
74.416,2003,960,7507,2,31,0,505431.3,1548347,10390.1
74.422,2000,1026,8313,2,14,0,492164.3,1586430,21290.78
74.458,2003,936,6499,2,40,0,555900.3,1509412,9211.42
74.466,2000,1277,12895,3,37,0,524803.1,1528324,3171.75
74.486,2001,874,8471,2,31,0,555973.7,1524127,6781.6
74.539,2001,1171,4754,2,7,0,540747.8,1549287,5827.49
74.544,2000,1248,10051,3,29,0,507600.5,1546885,9592.01
74.566,2002,584,8362,1,15,0,534249.5,1548105,5181.76
74.571,2000,1516,8356,3,45,0,525851.0,1533079,2803.59
